Month,Open,High,Low,Close
January-2013,19513.45,20203.66,19508.93,19894.98,
February-2013,19907.21,19966.69,18793.97,18861.54,
March-2013,18876.68,19754.66,18568.43,18835.77,
April-2013,18890.81,19622.68,18144.22,19504.18,
May-2013,19459.33,20443.62,19451.26,19760.30,
June-2013,19859.22,19860.19,18467.16,19395.81,
July-2013,19352.48,20351.06,19126.82,19345.70,
August-2013,19443.29,19569.20,17448.71,18619.72,
September-2013,18691.83,20739.69,18166.17,19379.77,
October-2013,19452.05,21205.44,19264.72,21164.52,
November-2013,21158.81,21321.53,20137.67,20791.93,
December-2013,20771.27,21483.74,20568.70,21170.68,
January-2014,21222.19,21409.66,20343.78,20513.85,
February-2014,20479.03,21140.51,19963.12,21120.12,
March-2014,21079.27,22467.21,20920.98,22386.27,
April-2014,22455.23,22939.31,22197.51,22417.80,
May-2014,22493.59,25375.63,22277.04,24217.34,
June-2014,24368.96,25725.12,24270.20,25413.78,
July-2014,25469.94,26300.17,24892.00,25894.97,
August-2014,25753.92,26674.38,25232.82,26638.11,
September-2014,26733.18,27354.99,26220.49,26630.51,
October-2014,26681.47,27894.32,25910.77,27865.83,
November-2014,27943.04,28822.37,27739.56,28693.99,
December-2014,28748.22,28809.64,26469.42,27499.42,
January-2015,27485.77,29844.16,26776.12,29182.95,
February-2015,29143.63,29560.32,28044.49,29361.50,
March-2015,29533.42,30024.74,27248.45,27957.49,
April-2015,27954.86,29094.61,26897.54,27011.31,
May-2015,27204.63,28071.16,26423.99,27828.44,
June-2015,27770.79,27968.75,26307.07,27780.83,
July-2015,27823.65,28578.33,27416.39,28114.56,
August-2015,28089.09,28417.59,25298.42,26283.09,
September-2015,26127.04,26471.82,24833.54,26154.83,
October-2015,26344.19,27618.14,26168.71,26656.83,
November-2015,26641.69,26824.30,25451.42,26145.67,
December-2015,26201.27,26256.42,24867.73,26117.54,
January-2016,26101.50,26197.27,23839.76,24870.69,
February-2016,24982.22,25002.32,22494.61,23002.00,
March-2016,23153.32,25479.62,23133.18,25341.86,
April-2016,25301.70,26100.54,24523.20,25606.62,
May-2016,25565.44,26837.20,25057.93,26667.96,
June-2016,26684.46,27105.41,25911.33,26999.72,
July-2016,27064.33,28240.20,27034.14,28051.86,
August-2016,28083.08,28532.25,27627.97,28452.17,
September-2016,28459.09,29077.28,27716.78,27865.96,
October-2016,27997.29,28477.65,27488.30,27930.21,
November-2016,27966.18,28029.80,25717.93,26652.81,
December-2016,26756.66,26803.76,25753.74,26626.46,
January-2017,26711.15,27980.39,26447.06,27655.96,
February-2017,27669.08,29065.31,27590.10,28743.32,
March-2017,28849.04,29824.62,28716.21,29620.50,
April-2017,29737.73,30184.22,29241.48,29918.40,
May-2017,30021.49,31255.28,29804.12,31145.80,
June-2017,31117.09,31522.87,30680.66,30921.61,
July-2017,31156.04,32672.66,31017.11,32514.94,
August-2017,32579.80,32686.48,31128.02,31730.49,
September-2017,31769.34,32524.11,31081.83,31283.72,
October-2017,31537.81,33340.17,31440.48,33213.13,
November-2017,33344.23,33865.95,32683.59,33149.35,
December-2017,33247.66,34137.97,32565.16,34056.83,
January-2018,34059.99,36443.98,33703.37,35965.02,
February-2018,36048.99,36256.83,33482.81,34184.04,
March-2018,34141.22,34278.63,32483.84,32968.68,
April-2018,33030.87,35213.30,32972.56,35160.36,
May-2018,35328.91,35993.53,34302.89,35322.38,
June-2018,35373.98,35877.41,34784.68,35423.48,
July-2018,35545.22,37644.59,35106.57,37606.58,
August-2018,37643.87,38989.65,37128.99,38645.07,
September-2018,38915.91,38934.35,35985.63,36227.14,
October-2018,36274.25,36616.64,33291.58,34442.05,
November-2018,34650.63,36389.22,34303.38,36194.30,
December-2018,36396.69,36554.99,34426.29,36068.33,
January-2019,36161.80,36701.03,35375.51,36256.69,
February-2019,36311.74,37172.18,35287.16,35867.44,
March-2019,36018.49,38748.54,35926.94,38672.91,
April-2019,38858.88,39487.45,38460.25,39031.55,
May-2019,39036.51,40124.96,36956.10,39714.20,
June-2019,39806.86,40312.07,38870.96,39394.64,
July-2019,39543.73,40032.41,37128.26,37481.12,
August-2019,37387.18,37807.55,36102.35,37332.79,
September-2019,37181.76,39441.12,35987.80,38667.33,
October-2019,38813.48,40392.22,37415.83,40129.05,
November-2019,40196.07,41163.79,40014.23,40793.81,
December-2019,41072.94,41809.96,40135.37,41253.74,
January-2020,41349.36,42273.87,40476.55,40723.49,
February-2020,40753.18,41709.30,38219.97,38297.29,
March-2020,38910.95,39083.17,25638.90,29468.49,
April-2020,29505.33,33887.25,27500.79,33717.62,
May-2020,32748.14,32845.48,29968.45,32424.10,
June-2020,32906.05,35706.55,32348.10,34915.80,
